country,vaccines,total_vaccinations
China,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",3263129000.0
India,"Covaxin, Oxford/AstraZeneca, Sputnik V",1834500657.0
United States,"Johnson&Johnson, Moderna, Pfizer/BioNTech",560181791.0
Brazil,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",413559595.0
Indonesia,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",377108938.0
Japan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",254345587.0
Bangladesh,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",243642749.0
Pakistan,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",219368557.0
Vietnam,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",203144374.0
Mexico,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",191907868.0
Germany,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",171940027.0
Russia,"EpiVacCorona, Sputnik V",163601171.0
Philippines,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",148799120.0
Turkey,"Pfizer/BioNTech, Sinovac, Turkovac",146881913.0
Iran,"COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V",146792557.0
France,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",141666197.0
United Kingdom,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",140968337.0
Italy,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",135870869.0
Thailand,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",128882372.0
South Korea,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",120604515.0
England,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",118170701.0
Argentina,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",96504666.0
Spain,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",93807121.0
Canada,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",82076782.0
Colombia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",80573164.0
Egypt,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",76716981.0
Malaysia,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",68795057.0
Peru,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",65552891.0
Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",62388851.0
Australia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",56242913.0
Morocco,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",54201634.0
Poland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",53908363.0
Chile,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",50302179.0
